	simpson
1696.CT0004.2	0.9709518179101799
1696.CT0004.3	0.9658072144442724
1696.CT0005.0A	0.9798769881928783
1696.CT0005.0B	0.9804794048413834
1696.CT0010.3A	0.8698154822893174
1696.CT0014.0B	0.9719021467404435
1696.CT0015.1	0.9250803462160113
1696.CT0017.3A	0.9583402774422143
1696.VH0004B	0.9800852621520262
1696.VH0005B	0.9682093863314297
1696.VH0006B	0.953027240301011
1696.VH0007B	0.9752281398630638
1696.VH0009B	0.9739169606202461
1696.VH0010A	0.9768813144138005
1696.VH0011A	0.9785147660517391
1696.VH0025A	0.9794885257024069
1696.VH0026A	0.9766229442561454
1696.VH0027B	0.9731680421754767
1696.VH0038A	0.9734204165676412
1696.VH0038B	0.973688884856649
1696.VH0001A	0.9748478032126653
1696.VH0001B	0.973804145559041
1696.VH0039A	0.9682523822813296
1696.VH0039B	0.9489821497777721
1696.VH0012A	0.9737869471790811
1696.VH0013A	0.973895975441029
1696.VH0014A	0.9739460716395362
1696.VH0015B	0.969287914094881
1696.VH0016A	0.97037291097373
1696.VH0017A	0.9692627476581507
1696.VH0028A	0.9620634111369372
1696.VH0028B	0.970267117269481
1696.VH0029A	0.9567562908695734
1696.VH0029B	0.9555486174731201
1696.VH0030A	0.9701668459808155
1696.VH0030B	0.9693959167653634
1696.VH0031A	0.950452532372696
1696.VH0031B	0.9520261841390307
1696.VH0032A	0.9648751884770854
1696.VH0032B	0.9657071009389092
1696.VH0033A	0.953563940204073
1696.VH0033B	0.9530102785960047
1696.VH0034A	0.9695754741634773
1696.VH0034B	0.9722280481515193
1696.VH0035A	0.9618921373621985
1696.VH0036A	0.9557243091803256
1696.VH0037A	0.9599745179966649
1696.VH0018B	0.9428834306823437
1696.VH0019A	0.979833834459676
1696.VH0020B	0.9718624642398938
1696.VH0002B	0.9819254888077401
1696.VH0003B	0.9769860036349328
1696.VH0008B	0.964647428280093
1696.VH0021B	0.9662530311651607
1696.VH0022B	0.9753116072300254
1696.VH0023B	0.9711598551943742
1696.VH0024B	0.9690391687186714
1696.VH0040A	0.9676066541163199
1696.VH0040B	0.9680462383967638
1696.CT0019.2	0.9727895989247068
1696.CT0020.1	0.9663103065039264
1696.CT0021.2	0.9676810489433942
1696.FTA.A.0	0.936635685257813
1696.FTA.A.12	0.9403487208211833
1696.FTA.A.24a	0.9550600414772856
1696.FTA.A.24b	0.9320064020574943
1696.FTA.A.2a	0.9344508598696908
1696.FTA.A.2b	0.9380279651180564
1696.FTA.B.0	0.9299037817699145
1696.FTA.B.12	0.9405890247907153
1696.FTA.B.24	0.942603049754006
1696.FTA.B.2a	0.9521098881809459
1696.FTA.B.2b	0.9576091885106144
1696.FTA.C.0	0.9418831634368754
1696.FTA.C.12a	0.9478037451839112
1696.FTA.C.12b	0.9356836997028743
1696.FTA.C.2	0.9356274499555741
1696.FTA.C.24	0.9391445975490336
1696.FTA.D.0	0.9319875469528592
1696.FTA.D.12a	0.9359276326883612
