	simpson
10317.000013789	0.978176
10317.000012348	0.7094912
10317.000013039	0.90980992
10317.000039992	0.8396249600000001
10317.000003913	0.97441408
10317.000012238	0.9673792
10317.000058380	0.9639104000000001
10317.000038274	0.91981696
10317.000014282	0.95225216
10317.000054326	0.91724544
10317.000042709	0.9714368
10317.000066891	0.95530624
10317.000003200	0.07501184000000005
10317.000011202	0.95250432
10317.000035273	0.91778944
10317.000067841	0.94176128
10317.000060011	0.9648256
10317.000032872	0.95163264
10317.000021713	0.94404736
10317.000022630	0.864576
10317.000033439	0.97647104
10317.000027318	0.94387328
10317.000034261	0.7874547199999999
10317.000021143	0.96083712
10317.000013176	0.9805696
10317.000043154	0.9630336
10317.000022480	0.9169100800000001
10317.000036179	0.94373376
10317.000010725	0.95379456
10317.000042641	0.9496473599999999
10317.000036097	0.8139776
10317.000023841	0.95513728
10317.000013369	0.92460288
10317.000016369	0.91488384
10317.000030281	0.97522432
10317.000027888	0.89482752
10317.000026119	0.9673408
10317.000035459	0.96030208
10317.000018051	0.8723788800000001
10317.000058750	0.866272
10317.000034150	0.80088576
10317.000014612	0.95058944
10317.000001354	0.9117888
10317.000002051	0.91885824
10317.000012120	0.83142144
10317.000046216	0.92315264
10317.000050289	0.95529856
10317.000031165	0.93288448
10317.000021685	0.915104
10317.000001328	0.87934976
10317.000011031	0.90022784
10317.000068267	0.9331264
10317.000026636	0.96409344
10317.000030070	0.94561664
10317.000010777	0.9554304
10317.000009102	0.91709568
10317.000021278	0.95671296
10317.000017175	0.9026944
10317.000039542	0.9493312
10317.000009486	0.9419712
10317.000013965	0.92390912
10317.000016339	0.92720512
10317.000062116	0.86306304
10317.000027681	0.96247168
10317.000004786	0.864736
10317.000023783	0.8583603200000001
10317.000014121	0.8812672
10317.000002132	0.81017984
10317.000034245	0.92675072
10317.000013425	0.96470144
10317.000014162	0.95076864
10317.000013736	0.96975744
10317.000013117	0.6339110399999999
10317.000001234	0.81092352
10317.000007108	0.91486592
10317.000001724	0.89169024
10317.000005163	0.85933696
10317.000036101	0.93581184
10317.000039927E	0.96434432
10317.000054138	0.93300736
10317.000052462	0.95536512
10317.000035392	0.96225792
10317.000015542	0.8825216
10317.000032874	0.91764864
10317.000008998	0.8109184
10317.000014678	0.5198310399999999
10317.000033157	0.8843136
10317.000069312	0.97559808
