	simpson
22001612560135|GFM-1079-012	0.9856895170253869
22001612560136|GFM-1079-010	0.9863974173089692
22001612560138|GFM-1079-001	0.9558478592537621
22001612560139|GFM-1079-008	0.9888086473968041
22001612560143|GFM-1079-006	0.9731918529008731
22001612560146|GFM-1079-008	0.9856957373282007
22001612560147|GFM-1079-014	0.977912519525187
22001612560150|GFM-1079-010	0.9865157841328905
22001612560154|GFM-1079-004	0.9910561684876381
22001612560155|GFM-1079-009	0.9537370996152045
22001612560156|GFM-1079-007	0.9795098911575355
22001612560157|GFM-1079-001	0.96647853783304
22001612560158|GFM-1079-004	0.9788567593620843
22001612560167|GFM-1079-010	0.9634574730917715
22001612560168|GFM-1079-001	0.9702491703657808
22001612560169|GFM-1079-001	0.9522963539295637
22001612560172|GFM-1079-011	0.9606111732966831
22001612560174|GFM-1079-010	0.9903814999588144
22001612560175|GFM-1079-012	0.9734636716128743
22001612560176|GFM-1079-004	0.9774255358523263
22001612560178|GFM-1079-003	0.9526349024311687
22001612560180|GFM-1079-015	0.9771694276654114
22001612560181|GFM-1079-002	0.9676683731190487
22001612560183|GFM-1079-015	0.9849359763350284
22001612560184|GFM-1079-001	0.9731762595390248
22001612560185|GFM-1079-017	0.988581712856134
22001612560186|GFM-1079-021	0.9776631855036653
22001612560191|GFM-1079-024	0.9529349148786975
22001612560193|GFM-1079-010	0.9690568640005721
22001612560195|GFM-1079-017	0.9720054792559851
22001612560198|GFM-1079-002	0.9690941538638447
22001612560200|GFM-1079-015	0.9781662737961399
22001612560201|GFM-1079-002	0.9814082977529438
22001612560202|GFM-1079-012	0.9800269112241204
22001612560204|GFM-1079-003	0.9874714420598844
22001612560206|GFM-1079-008	0.9820847450327433
22001612560207|GFM-1079-009	0.9706325817363101
22001612560208|GFM-1079-001	0.9851448251322431
22001612560210|GFM-1079-009	0.9836212450373847
22001612560212|GFM-1079-003	0.9896920688620114
22001612560213|GFM-1079-003	0.9827339571853255
22001612560214|GFM-1079-025	0.9610524207019367
22001612560216|GFM-1079-005	0.9816429011600966
22001612560218|GFM-1079-002	0.968010681495471
22001612560221|GFM-1079-011	0.9904493800783907
22001612560223|GFM-1079-015	0.9807021868715408
22001612560225|GFM-1079-001	0.982838360281526
22001612560226|GFM-1079-003	0.9708829063197526
