"sample_ID" "host_taxonomy_class" "host_taxonomy_order" "host_taxonomy_family" "host_taxonomy_genus" "host_taxonomy_species" "sample_type" "captive_wild" "country" "latitude" "longitude" "habitat" "habitat_detail" "habitat_detail_1" "habitat_detail_2" "diet" "diet_vertebrate" "diet_invertebrate" "diet_fruit" "diet_flowers_nectar_pollen" "diet_leaves_branches_bark_buds" "diet_seeds" "diet_grass_waterplants" "diet_roots_tubers" "collection_date" "sample_ID_2" "ENA_Id" "TimeTree_returned" "SampleID" "Diet" "Order" "Time_Tree_curated" "Sample_ID"
"145" "F42.Fallow.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Dama" "Dama_dama" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40456 "42_Fallow_Deer" "ERR2860773" "Dama_dama" "42_Fallow_Deer" "herbivore" "Cetartiodactyla" "Dama_dama" "F42.Fallow.Deer"
"146" "F44.Fallow.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Dama" "Dama_dama" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40455 "44_Fallow_Deer" "ERR2860769" "Dama_dama" "44_Fallow_Deer" "herbivore" "Cetartiodactyla" "Dama_dama" "F44.Fallow.Deer"
"147" "F45.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40456 "45_Red_Deer" "ERR2860719" "Cervus_elaphus" "45_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F45.Red.Deer"
"148" "F47.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40455 "47_Red_Deer" "ERR2860693" "Cervus_elaphus" "47_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F47.Red.Deer"
"149" "F48.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40455 "48_Red_Deer" "ERR2860698" "Cervus_elaphus" "48_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F48.Red.Deer"
"151" "F66.Wild.Boar" "Mammalia" "Artiodactyla" "Suidae" "Sus" "Sus_scrofa" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "omnivore" "yes" "yes" "yes" "no" "yes" "yes" "yes" "yes" 40462 "66_Wild_Boar" "ERR2860735" "Sus_scrofa" "66_Wild_Boar" "omnivore" "Cetartiodactyla" "Sus_scrofa" "F66.Wild.Boar"
"152" "F68.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40462 "68_Red_Deer" "ERR2860704" "Cervus_elaphus" "68_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F68.Red.Deer"
"153" "F69.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40463 "69_Red_Deer" "ERR2860760" "Cervus_elaphus" "69_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F69.Red.Deer"
"154" "F70.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40463 "70_Red_Deer" "ERR2860781" "Cervus_elaphus" "70_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F70.Red.Deer"
"155" "F80.Red.Deer" "Mammalia" "Artiodactyla" "Cervidae" "Cervus" "Cervus_elaphus" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "grassland" "meadow" "flood meadow" "herbivore" "no" "no" "yes" "no" "yes" "yes" "yes" "yes" 40465 "80_Red_Deer" "ERR2860782" "Cervus_elaphus" "80_Red_Deer" "herbivore" "Cetartiodactyla" "Cervus_elaphus" "F80.Red.Deer"
"156" "F90.Domestic.Dog" "Mammalia" "Carnivora" "Canidae" "Canis" "Canis_lupus" "feces" "captive" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 40489 "90_Domestic_Dog" "ERR2860720" "Canis_lupus" "90_Domestic_Dog" "carnivore" "Carnivora" "Canis_lupus" "F90.Domestic.Dog"
